fair_slug,gallery_name_en,artists_url,saved_unique,candidate_count,coverage,reason
frieze_london,Athr,https://athrart.com/artists/,17,39,0.4359,closed_duplicate_text_hash_dominant
liste,A+ Works of Art,https://aplusart.asia/artists/,28,44,0.6364,closed_duplicate_text_hash_dominant
liste,Addis Fine Art,https://addisfineart.com/artists/,25,37,0.6757,closed_duplicate_text_hash_dominant
