fair_slug,gallery_name_en,source_url,reason
frieze_london,Arcadia Missa,https://arcadiamissa.com/category/exhibition/,insufficient_image_candidates_after_download
frieze_london,Athr,https://athrart.com/exhibitions/40-sarah-abu-abdallah-you-ask-we-answer-commissioned-by-sharjah-art-foundation/overview,insufficient_image_candidates_after_download
frieze_london,Athr,https://athrart.com/exhibitions/41-between-memory-and-matter-solo-exhibition-by-zahrah-alghamdi/works,insufficient_image_candidates_after_download
frieze_london,Athr,https://athrart.com/exhibitions/past/location/3,insufficient_image_candidates_after_download
frieze_london,Athr,https://athrart.com/exhibitions/past/location/4,insufficient_image_candidates_after_download
frieze_london,Gallery Baton,https://gallerybaton.com/Projects,insufficient_image_candidates_after_download
frieze_london,The Approach,https://www.theapproach.co.uk/exhibitions/past/2020/,insufficient_image_candidates_after_download
frieze_london,The Approach,https://www.theapproach.co.uk/exhibitions/past/2021/,insufficient_image_candidates_after_download
frieze_london,The Approach,https://www.theapproach.co.uk/exhibitions/past/2022/,insufficient_image_candidates_after_download
liste,A+ Works of Art,https://aplusart.asia/exhibitions/102-a-by-agus-suwage-curated-by-bob-edrian,insufficient_image_candidates_after_download
liste,A+ Works of Art,https://aplusart.asia/exhibitions/103-sea-the-mother-s-embrace-dian-suci-ipeh-nur-ratna-rantnaningtyas,insufficient_image_candidates_after_download
liste,A+ Works of Art,https://aplusart.asia/exhibitions/104-kadang-kadang-dekat-dekat-akan-datang-no.-8-featuring-than-sok,insufficient_image_candidates_after_download
liste,A+ Works of Art,https://aplusart.asia/exhibitions/106-on-air-off-air-ho-rui-an-and-sung-tieu,insufficient_image_candidates_after_download
liste,Addis Fine Art,https://addisfineart.com/exhibitions/132-motion-selome-muleta-at-jan-kaps-cologne,insufficient_image_candidates_after_download
liste,Addis Fine Art,https://addisfineart.com/exhibitions/133-merikokeb-berhanu-esther-schipper-berlin,insufficient_image_candidates_after_download
liste,Afriart Gallery,https://afriartgallery.org/projects,insufficient_image_candidates_after_download
liste,Afriart Gallery,https://afriartgallery.org/exhibitions/fabric-of-our-being-april-kamunde,insufficient_image_candidates_after_download
liste,Afriart Gallery,https://afriartgallery.org/exhibitions/from-addis-to-kampala-a-sensory-geography-fiker-solomon,insufficient_image_candidates_after_download
liste,Afriart Gallery,https://afriartgallery.org/exhibitions/henry-mzili-mujunga-25-years-1999-2024-solo-exhibition,insufficient_image_candidates_after_download
liste,Afriart Gallery,https://afriartgallery.org/exhibitions/the-quiet-weight-of-thoughts-daniel-atenyi-richard-atugonza,insufficient_image_candidates_after_download
