fair_slug,gallery_name_en,saved_unique,candidate_count,coverage
frieze_london,Adams and Ollman,21,21,1.0000
frieze_london,Arcadia Missa,18,19,0.9474
frieze_london,Athr,17,39,0.4359
frieze_london,Gallery Baton,44,53,0.8302
frieze_london,The Approach,41,31,1.3226
liste,A+ Works of Art,28,44,0.6364
liste,Addis Fine Art,25,37,0.6757
liste,Afriart Gallery,15,15,1.0000
liste,Amanita,14,14,1.0000
liste,Anca Poteraşu Gallery,16,16,1.0000
