fair_slug,gallery_name_en,source_url,reason,seed_url_type,target_year,input_grain,provenance_run_id,provenance_artifact,qa_expected_group,url_canonical_hash
frieze_london,Arcadia Missa,https://arcadiamissa.com/jan-vorisek-elbows,task155_authoritative_vnext_detail_seed,detail,2025,detail,20260303T102058Z,data/phase1_seed10/logs/phase1_seed10_exhibition_image_collect_summary_task_t153_revised_trial.json|data/phase1_seed10/logs/exhibitions_image_task153_revised_trial_result.md,core,c01b4cc2f64967d1b30bf54cce7115ebde47b44b3f3e67a3cdbca05460230e53
frieze_london,Arcadia Missa,https://arcadiamissa.com/irma-hunerfauth,task155_authoritative_vnext_detail_seed,detail,2025,detail,20260303T102058Z,data/phase1_seed10/logs/phase1_seed10_exhibition_image_collect_summary_task_t153_revised_trial.json|data/phase1_seed10/logs/exhibitions_image_task153_revised_trial_result.md,core,7e5b3af36b82faf30488133dc3e9ac99cacdf89cacbb65fe1451be8bd6ebb713
frieze_london,Arcadia Missa,https://arcadiamissa.com/hannah-black-hush-mr-giant,task155_authoritative_vnext_detail_seed,detail,2025,detail,20260303T102058Z,data/phase1_seed10/logs/phase1_seed10_exhibition_image_collect_summary_task_t153_revised_trial.json|data/phase1_seed10/logs/exhibitions_image_task153_revised_trial_result.md,core,3861a6a0a4b492ed70248f95110272f726aafc620610d7c0c6b0700abfc3e10a
frieze_london,Arcadia Missa,https://arcadiamissa.com/diane-a,task155_authoritative_vnext_detail_seed,detail,2025,detail,20260303T102058Z,data/phase1_seed10/logs/phase1_seed10_exhibition_image_collect_summary_task_t153_revised_trial.json|data/phase1_seed10/logs/exhibitions_image_task153_revised_trial_result.md,core,1594c3f8cbd7e414c4149bb7109032eb1cdf676621d429182a259320eef52124
frieze_london,Arcadia Missa,https://arcadiamissa.com/anh-tran-winnie-herbstein-grievous-ghosts,task155_authoritative_vnext_detail_seed,detail,2025,detail,20260303T102058Z,data/phase1_seed10/logs/phase1_seed10_exhibition_image_collect_summary_task_t153_revised_trial.json|data/phase1_seed10/logs/exhibitions_image_task153_revised_trial_result.md,core,c0c5c31fd4be840d378604eb2fd3b21fcef868c735027749f1ad7b87b773e945
frieze_london,Arcadia Missa,https://arcadiamissa.com/brad-kronz-stuart-mckenzie-galerina,task155_authoritative_vnext_detail_seed,detail,2025,detail,20260303T102058Z,data/phase1_seed10/logs/phase1_seed10_exhibition_image_collect_summary_task_t153_revised_trial.json|data/phase1_seed10/logs/exhibitions_image_task153_revised_trial_result.md,core,064310f948a99aa200d1a5e58180dc862bcd8ae6d7d67f3c06ef02b7f1a82443
frieze_london,Arcadia Missa,https://arcadiamissa.com/condo-2025-243-luz-roland-ross,task155_authoritative_vnext_detail_seed,detail,2025,detail,20260303T102058Z,data/phase1_seed10/logs/phase1_seed10_exhibition_image_collect_summary_task_t153_revised_trial.json|data/phase1_seed10/logs/exhibitions_image_task153_revised_trial_result.md,core,445b730add0e40452ecf6b0103cf4753aba6b2bada95a101eb3380800377ab80
frieze_london,Arcadia Missa,https://arcadiamissa.com/condo-2025-veda,task155_authoritative_vnext_detail_seed,detail,2025,detail,20260303T102058Z,data/phase1_seed10/logs/phase1_seed10_exhibition_image_collect_summary_task_t153_revised_trial.json|data/phase1_seed10/logs/exhibitions_image_task153_revised_trial_result.md,core,b673e90382b2c695c1e4399200a8365a96985b5ec6d3f6354428ef51cf027a39
liste,Anca Poterașu Gallery,https://www.ancapoterasu.com/expozitii/if-we-lived-here-wed-be-home-by-now,task155_authoritative_vnext_detail_seed,detail,2025,detail,20260303T102058Z,data/phase1_seed10/logs/phase1_seed10_exhibition_image_collect_summary_task_t153_revised_trial.json|data/phase1_seed10/logs/exhibitions_image_task153_revised_trial_result.md,core,bca8e2a22f440681a15b49c02ffc0e9b5b6cc02c860f8d6f0408e45c288ab159
liste,Anca Poterașu Gallery,https://www.ancapoterasu.com/expozitii/beyond-the-photographic-frame,task155_authoritative_vnext_detail_seed,detail,2025,detail,20260303T102058Z,data/phase1_seed10/logs/phase1_seed10_exhibition_image_collect_summary_task_t153_revised_trial.json|data/phase1_seed10/logs/exhibitions_image_task153_revised_trial_result.md,core,bdcd012b70c9f3679e3bcf598670b5725769e5b928d052493376829c4e1b8432
liste,Anca Poterașu Gallery,https://www.ancapoterasu.com/expozitii/loc-de-actiune-cretesti-2,task155_authoritative_vnext_detail_seed,detail,2025,detail,20260303T102058Z,data/phase1_seed10/logs/phase1_seed10_exhibition_image_collect_summary_task_t153_revised_trial.json|data/phase1_seed10/logs/exhibitions_image_task153_revised_trial_result.md,core,6b782be29504a013a0cd45b0c05f93ffa355e7d5ab45bdb63d9ed36d81cb3f78
liste,Anca Poterașu Gallery,https://www.ancapoterasu.com/expozitii/a-journey-to-the-center-of-the-earth,task155_authoritative_vnext_detail_seed,detail,2025,detail,20260303T102058Z,data/phase1_seed10/logs/phase1_seed10_exhibition_image_collect_summary_task_t153_revised_trial.json|data/phase1_seed10/logs/exhibitions_image_task153_revised_trial_result.md,core,c888b64adfbbccdd556af060f46a42921028adbf231d199dce2a7dd5d2533c53
