fair_slug,gallery_name_en,skip_reason,detected_at,run_id,source_scope_file,evidence
frieze_london,Emalin,exhibition_text_only_auto_detected_in_block_closeout,2026-04-10T12:18:31Z,TASK_PHASE3_SAME_SCOPE9_CLOSEOUT_APPLY_NO_R2_20260410T1230Z,C:\Users\tarutani tomoaki\Pictures\Dev\my_projects\art_pulse_editor\_trial\phase3_next_real_scope_effective9_20260410.csv,derived_from_closeout_scope_stats_target_gallery_rows
frieze_london,Goodman Gallery,exhibition_text_only_auto_detected_after_image_collect,2026-04-11T16:47:52Z,20260411T164752Z,_trial/phase3_next_real_scope_20260412.csv,derived_from_current_raw_and_image_collect_scope_stats
frieze_london,Hauser & Wirth,all_rag_zero_after_human_review,2026-04-21T00:00:00Z,TASK_PHASE3_ARTISTS_ENRICH_PREFLIGHT_20260421,_trial/phase3_next_real_scope_20260421.csv,human_approved_early_review_all_rag_zero
frieze_london,Stephen Friedman Gallery,all_rag_zero_auto_detected_after_image_collect,2026-04-10T09:41:33Z,20260410T094133Z,_trial/phase3_next_real_scope_after_skip_20260410.csv,derived_from_current_raw_and_image_collect_scope_stats
liste,City Galerie Wien,all_rag_zero_after_human_review,2026-04-08T14:48:25Z,TASK_PHASE3_TRUE_NEXT_BLOCK_CLOSEOUT_APPLY_20260408T130041Z,data/gallery_lists/phase3_block_scope_candidate_after_new10.csv,derived_from_closeout_scope_stats_target_gallery_rows
liste,Copperfield,exhibition_text_only_auto_detected_after_image_collect,2026-04-10T00:00:00Z,TASK_PHASE3_EXHIBITION_TEXT_ONLY_RETROACTIVE_PURGE_20260410T000000Z,data/gallery_lists/phase3_block_scope_candidate_after_true_next.csv,retroactive_user_approved_exhibition_text_only_purge
liste,Coulisse Gallery,exhibition_text_only_auto_detected_after_image_collect,2026-04-10T00:00:00Z,TASK_PHASE3_EXHIBITION_TEXT_ONLY_RETROACTIVE_PURGE_20260410T000000Z,data/gallery_lists/phase3_block_scope_candidate_after_true_next.csv,retroactive_user_approved_exhibition_text_only_purge
liste,Petrine,all_rag_zero_after_human_review,2026-04-23T13:14:24Z,TASK_PHASE3_RAW_REBUILD_VERIFY_FIRST_20260422,_trial/phase3_next_real_scope_20260422.csv,human_approved_phase3_artists_enrichment_preflight
