Adams and Ollman（ｱﾀﾞﾑｽﾞｱﾝﾄﾞｵﾙﾏﾝ / ﾎﾟｰﾄﾗﾝﾄﾞ）,https://adamsandollman.com/Past-Exhibitions,https://adamsandollman.com/List-of-Artists
The Approach（ｼﾞ･ｱﾌﾟﾛｰﾁ / ﾛﾝﾄﾞﾝ）,https://www.theapproach.co.uk/exhibitions/past,https://www.theapproach.co.uk/artists
Arcadia Missa（ｱﾙｶﾃﾞｨｱ･ﾐｯｻ / ﾛﾝﾄﾞﾝ）,https://arcadiamissa.com/category/exhibition/,https://arcadiamissa.com/category/artist/
Athr（ｱｻﾙ / ｼﾞｪｯﾀﾞ･ｱﾙｳﾗ･ﾘﾔﾄﾞ）,https://athrart.com/exhibitions/past/,https://athrart.com/artists/
Gallery Baton（ｷﾞｬﾗﾘｰ･ﾊﾞﾄﾝ / ｿｳﾙ）,https://gallerybaton.com/exhibitions/,https://gallerybaton.com/artists/
Livia Benavides（ﾘｳﾞｨｱ･ﾍﾞﾅｳﾞｨﾃﾞｽ / ﾘﾏ）,https://liviabenavides.com/exhibitions/,https://liviabenavides.com/artists/
blank（ﾌﾞﾗﾝｸ / ｹｰﾌﾟﾀｳﾝ）,https://blankprojects.com/Exhibitions,https://blankprojects.com/Artists
Peter Blum Gallery（ﾋﾟｰﾀｰ･ﾌﾞﾗﾑ･ｷﾞｬﾗﾘｰ / ﾆｭｰﾖｰｸ）,https://www.peterblumgallery.com/exhibitions,https://www.peterblumgallery.com/artists
Matthew Brown（ﾏｼｭｰ･ﾌﾞﾗｳﾝ / ﾆｭｰﾖｰｸ･ﾛｽｱﾝｾﾞﾙｽ）,https://matthewbrowngallery.com/exhibitions,https://matthewbrowngallery.com/artists
Cecilia Brunson Projects（ｾｼﾘｱ･ﾌﾞﾗﾝｿﾝ･ﾌﾟﾛｼﾞｪｸﾂ / ﾛﾝﾄﾞﾝ）,https://www.ceciliabrunsonprojects.com/exhibitions/,https://www.ceciliabrunsonprojects.com/artists/
Galerie Gisela Capitain（ｷﾞｬﾗﾘｰ･ｷﾞｾﾞﾗ･ｶﾋﾟﾀﾝ / ｹﾙﾝ･ﾅﾎﾟﾘ）,https://www.galeriecapitain.de/archive/?exhibition=archive&location=galerie-gisela-capitain,https://www.galeriecapitain.de/artists/
Carlos/Ishikawa（ｶﾙﾛｽ/ｲｼｶﾜ / ﾛﾝﾄﾞﾝ）,https://www.carlosishikawa.com/exhibitions/,https://www.carlosishikawa.com/artists/
Casado Santapau（ｶｻﾄﾞ･ｻﾝﾀﾊﾟｳ / ﾏﾄﾞﾘｰﾄﾞ）,https://casadosantapau.com/past-exhibitions/,https://casadosantapau.com/artists/
