"gallery_name_en","source_url","dropped_by_bucket","note_ja"
"Adams and Ollman","https://adamsandollman.com/Past-Exhibitions","A","T120再分類結果に基づき、TASK121で再抽出対象から除外（A/D除外ルール）"
"Arcadia Missa","https://arcadiamissa.com/category/exhibition/","A","T120再分類結果に基づき、TASK121で再抽出対象から除外（A/D除外ルール）"
"Anca Poterașu Gallery","https://www.ancapoterasu.com/exhibitions","A","T120再分類結果に基づき、TASK121で再抽出対象から除外（A/D除外ルール）"
