fair_slug,gallery_name_en,source_url,saved_images,target_images,reason
liste,A+ Works of Art,https://aplusart.asia/artists/41-gan-chin-lee/,0,5,seed_invalid_redirected_to_listing (artists_nav_no_gan_detail_url)
frieze_london,Arcadia Missa,https://arcadiamissa.com/hannah-black/,5,5,resolved_fix11_seed_corrected
frieze_london,Arcadia Missa,https://arcadiamissa.com/jesse-darling/,5,5,resolved_fix11_seed_corrected
frieze_london,Athr,https://athrart.com/artists/30-ahaad-alamoudi/biography/,5,5,resolved_fix11_seed_corrected
