fair_slug,gallery_name_en,exhibitions_url,artists_url
liste,Blue Velvet,https://www.bluevelvetprojects.com/exhibitions,https://www.bluevelvetprojects.com/artists
liste,Chris Sharp Gallery,https://www.chrissharpgallery.com/past,https://www.chrissharpgallery.com/artists
